hour,pv_generation_kw,pv_curtailment_kw,flexible_load_kw,grid_import_kw,grid_export_kw,energy_price_dkk_kwh,hourly_cost_dkk,pv_self_consumption_kw
0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
5,0.15000000000000002,0.0,0.0,0.0,0.15000000000000002,1.34,-0.14100000000000004,0.0
6,0.42000000000000004,0.0,0.0,0.0,0.42000000000000004,1.34,-0.39480000000000004,0.0
7,0.63,0.0,0.0,0.0,0.63,1.34,-0.5922000000000001,0.0
8,0.44999999999999996,0.0,0.0,0.0,0.44999999999999996,1.34,-0.423,0.0
9,0.36,0.0,0.0,0.0,0.36,1.34,-0.33840000000000003,0.0
10,0.63,0.0,0.0,0.0,0.63,1.34,-0.5922000000000001,0.0
11,0.75,0.0,0.0,0.0,0.75,1.34,-0.7050000000000001,0.0
12,2.55,0.0,0.46999999999999886,0.0,2.080000000000001,1.34,-1.955200000000001,0.46999999999999886
13,2.25,0.0,2.25,0.0,0.0,1.34,0.0,2.25
14,1.6500000000000001,0.0,1.6500000000000001,0.0,0.0,1.34,0.0,1.6500000000000001
15,1.29,0.0,1.29,0.0,0.0,1.34,0.0,1.29
16,0.6900000000000001,0.0,0.6900000000000001,0.0,0.0,1.34,0.0,0.6900000000000001
17,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,1.34,0.0,0.15000000000000002
18,0.75,0.0,0.75,0.0,0.0,1.34,0.0,0.75
19,0.75,0.0,0.75,0.0,0.0,1.34,0.0,0.75
20,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0
